FID,Lat_4326_rad,Lon_4326_rad,D_geo_acum_km,X,Y
1,6.483764690000000,-74.399214999999998,0.000000000000000,964415.08813723,1208747.05466805
2,6.491580446000000,-74.395400910000006,0.966906652000000,964837.521333879,1209611.13416918
3,6.500512737000000,-74.394186120000001,1.970260143000000,964972.509575867,1210598.87340914
4,6.509016279000000,-74.393971750000006,2.917146646000000,964996.809519137,1211539.2668324
5,6.515090237000000,-74.395400910000006,3.611512135000000,964839.155171271,1212211.08643551
6,6.521378571000000,-74.398616540000006,4.396673632000000,964483.926286876,1212906.74015443
7,6.525880446000000,-74.401760710000005,5.006637083000000,964136.483279577,1213404.82651232
8,6.531882946000000,-74.405333619999993,5.782914821000000,963741.734337611,1214068.90101399
9,6.542315863000000,-74.409049460000006,7.014839647000000,963331.509627525,1215222.95137342
10,6.547246488000000,-74.409764039999999,7.569362610000000,963252.836636046,1215768.28394673
11,6.550819404000000,-74.409549659999996,7.967795300000000,963276.808260208,1216163.39899035
12,6.555321279000000,-74.408978000000005,8.472903008999999,963340.36218238,1216661.22207179
13,6.560466279000000,-74.408191959999996,9.052188767000001,963427.671945605,1217230.15318352
14,6.570613363000000,-74.402260909999995,10.358354719999999,964084.35648546,1218351.89596484
15,6.576187113000000,-74.397330289999999,11.184348320000000,964630.051603164,1218967.94887123
16,6.578473780000000,-74.396901540000002,11.443271480000000,964677.630083106,1219220.8022943
17,6.580117321000000,-74.396687159999999,11.627755270000000,964701.455045843,1219402.54723854
18,6.582261071000000,-74.396401330000003,11.868475569999999,964733.216997341,1219639.60554187
19,6.587048780000000,-74.394686329999999,12.434166919999999,964923.218802984,1220168.96017784
20,6.588192113000000,-74.393685910000002,12.602799350000000,965033.936466386,1220295.3318456
21,6.592836905000000,-74.388969660000001,13.337189410000001,965555.831207947,1220808.67397362
22,6.598410655000000,-74.383753209999995,14.184363910000000,966133.095823098,1221424.72059316
23,6.599553988000000,-74.382538409999995,14.369413030000000,966267.516134386,1221551.07998596
24,6.600125655000000,-74.380609039999996,14.592050499999999,966480.92025645,1221614.17076517
25,6.604055863000000,-74.372391329999999,15.600589500000000,967389.958292227,1222048.26891126
26,6.605985238000000,-74.370890709999998,15.871997159999999,967556.03328141,1222261.54126511
27,6.607128571000000,-74.369818830000000,16.045912779999998,967674.643200676,1222387.91320356
28,6.609343780000000,-74.368532579999993,16.330581680000002,967817.028237982,1222632.81069408
29,6.617704405000000,-74.369461540000003,17.266913790000000,967714.840917702,1223557.4758176
30,6.622492113000000,-74.368889870000004,17.803603180000000,967778.368967195,1224086.91344628
31,6.625493363000000,-74.368318209999998,18.143621010000000,967841.779198433,1224418.78598782
32,6.628280238000000,-74.365745709999999,18.564515860000000,968126.431244072,1224726.82185249
33,6.635354613000000,-74.360243409999995,19.559657080000001,968735.33079176,1225508.82990941
34,6.635711905000000,-74.358099659999993,19.800008150000000,968972.409210586,1225548.20831731
35,6.635497530000000,-74.356241749999995,20.006822000000000,969177.843547401,1225524.38462283
36,6.634068363000000,-74.354312370000002,20.272944670000001,969391.106197964,1225366.21300372
37,6.627994405000000,-74.337948409999996,22.204549459999999,971200.284470713,1224693.51264511
38,6.628065863000000,-74.335233000000002,22.504906869999999,971500.562751909,1224701.25847615
39,6.628423155000000,-74.333017790000000,22.753057259999999,971745.544308918,1224740.64481495
40,6.629566488000000,-74.330373829999999,23.071909730000002,972037.981494212,1224866.93643594
41,6.631067113000000,-74.328444460000000,23.342864259999999,972251.41729975,1225032.78244103
42,6.646930863000000,-74.316796749999995,25.528521779999998,973540.276599162,1226786.51927273
43,6.656291905000000,-74.311115810000004,26.745239300000001,974168.947471804,1227821.45754246
44,6.657220863000000,-74.309400810000000,26.961225030000001,974358.631784594,1227924.10179261
45,6.658221280000000,-74.306971230000002,27.252024100000000,974627.333403776,1228034.61258882
46,6.659864822000000,-74.304041429999998,27.624054520000001,974951.377981729,1228216.22251604
47,6.665652947000000,-74.299896849999996,28.414709420000001,975409.949583566,1228856.12327734
48,6.666724822000000,-74.298610600000004,28.600347509999999,975552.226968305,1228974.5980913
49,6.669654614000000,-74.289678309999999,29.640395439999999,976540.032264283,1229298.17022284
50,6.670869405000000,-74.287963309999995,29.873292020000001,976729.720294351,1229432.43271678
51,6.671726905000000,-74.286462680000000,30.064705310000001,976895.687472191,1229527.19307965
52,6.671798364000000,-74.275172269999999,31.313035970000001,978144.086224159,1229534.58106095
53,6.672012739000000,-74.269026850000003,31.992912029999999,978823.602207575,1229558.02064066
54,6.671583989000000,-74.262452679999996,32.721338539999998,979550.498045655,1229510.32778695
55,6.672798780000000,-74.261523729999993,32.891148489999999,979653.263326935,1229644.63288907
56,6.674871072000000,-74.260166020000000,33.166371280000000,979803.471529043,1229873.75147935
57,6.676800447000000,-74.257807889999995,33.504161199999999,980064.289151523,1230087.02471719
58,6.676943364000000,-74.254306430000000,33.891616589999998,980451.451358899,1230102.68960336
59,6.676800447000000,-74.252234139999999,34.121285239999999,980680.578821831,1230086.80271541
60,6.678372530000000,-74.251019350000007,34.341884510000000,980814.959379544,1230260.61158095
61,6.681087947000000,-74.249375810000004,34.694571250000003,980996.789790402,1230560.84527328
62,6.688805447000000,-74.246731850000003,35.602031580000002,981289.423301503,1231414.22078824
63,6.695951280000000,-74.244302270000006,36.441613750000002,981558.323437383,1232204.38539635
64,6.700738989000000,-74.241158100000007,37.077909880000000,981906.137036001,1232733.740412
65,6.702311072000000,-74.238371229999998,37.432247279999999,982214.323043494,1232907.49497848
