abz,strikler
0,NA
90838,6.0000000000000000E+01
125686,1.4835047319825243E+01
140069,1.0300000000000000E+02
176823,1.1534320603669059E+02
198248,1.0236954038958235E+02
230469,7.1038589818090244E+01
237946,7.1038589818090244E+01
276599,4.9482305907267900E+01
283323,101.239
362000,101.239
